,Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets count,User
197,0.0,,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Why on Earth would a company offer insurance for space travel?
https://t.co/Oo6LqTPSdE https://t.co/6thcLwTcok",97,CNN
198,-0.3818,,0.88,0.12,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The boxer Floyd Mayweather said a rematch of his famed 2015 fight with Manny Pacquiao will take place this year… https://t.co/R0c0FhR83O,98,CNN
199,-0.6597,,0.581,0.295,0.124,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The death and destruction wrought by Tropical Storm Florence has been punctuated with stories of bravery, generosit… https://t.co/j0MGbRqecg",99,CNN
200,0.4767,,0.838,0.0,0.162,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Riding on some types of roller-coaster is an effective way of removing kidney stones. 🎢🏥 https://t.co/kpRbQFUbSq https://t.co/cBJWvkx7OZ,0,BBC
201,0.0,,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",From overnight oats to kids' fruit cobbler: here are some quick and simple blackberry recipes.  😍… https://t.co/R3NOxFaED1,1,BBC
202,0.0,,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",From Viola Davis to Robert Pattinson: these are the stars who 'regret' their big roles. https://t.co/jfEkKsKryO https://t.co/yD6fxIOBXg,2,BBC
203,0.0,,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""You cannot make clothes without pockets!"" 

Miriam getting a makeover is everything. ❤️️

https://t.co/WfjTPgFROW",3,BBC
204,-0.1531,,0.676,0.176,0.149,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A new scientific study suggests that there are strong similarities between near death experiences and psychedelic d… https://t.co/xgw82FQzeZ,4,BBC
205,0.0,,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCSport: We ❤️ Vera! https://t.co/4jTELqBPBv,5,BBC
206,0.5983,,0.777,0.0,0.223,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","This is unbelievable! 👕📲️⚽️

Sam is 17 and sells clothes to the likes of @paulpogba, @kylewalker2 and @aubameyang7.

https://t.co/OcXmoK4IlQ",6,BBC
207,-0.7717,,0.717,0.283,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""If someone offered me my arms back, I wouldn't take them"".

Seok Chang-woo lost both arms in a horrific accident,… https://t.co/32iRbW38uV",7,BBC
208,0.5574,,0.66,0.0,0.34,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😂😂😂 @kenjeong's laugh is ICONIC. 

@crazyrichmovie @aliplumb

https://t.co/WQu5bdPeQP",8,BBC
209,0.6588,,0.747,0.0,0.253,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Space race! 🚀🏃⭐️

@usainbolt is just as great at running in zero gravity...

https://t.co/JRVh3a5TZZ",9,BBC
210,0.4588,,0.875,0.0,0.125,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbcthree: All your fav bits from Ep 1 in one tasty vid.

The #KillingEve boxset is on BBC Three iPlayer now. https://t.co/Fzw1UJZApc",10,BBC
211,0.0,,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",“Singapore is a character in this film”: @gemma_chan talks to Steve Wright about her role in #CrazyRichAsians. 🎬🍿… https://t.co/A2AjFScRV0,11,BBC
212,-0.25,,0.556,0.257,0.188,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Can cold water swimming treat depression? 💙 https://t.co/iGy1AyPJ0V https://t.co/hXu5SFpgTn,12,BBC
213,0.6249,,0.63,0.104,0.266,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","These beautiful fish have devastating effects on their habitat, but @reef_org are working to save Miami's coastal w… https://t.co/qXCjAfHtix",13,BBC
214,0.4019,,0.895,0.0,0.105,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🐮🤔🐐 Do you know your beef from your GOAT? 

💬 Police have compiled a list of slang words to help them understand te… https://t.co/Zw5LGI8bVv",14,BBC
215,-0.91,,0.511,0.489,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Spying, obsession, murder. @iamsandraoh and @jodiecomer star in Killing Eve. 

#KillingEve | 9:15pm | @BBCOne |… https://t.co/fQDJ2Pc0Az",15,BBC
216,0.4404,,0.791,0.0,0.209,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbcthree: This is truly magical: Sue and her underwater wheelchair. https://t.co/CRXs4SlmvL,16,BBC
217,0.4215,,0.817,0.0,0.183,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Celebrity dancers from the past 15 years share the inside scoop on their @bbcstrictly experience... 💃🕺✨

Strictly C… https://t.co/UlbvXy2MHj",17,BBC
218,-0.5106,,0.798,0.202,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","☕️ ‘Why I rejected Costa Coffee’s £120k offer for my roadside café’. 

📻👉 https://t.co/RSJYIVt5zs https://t.co/mjLYBMHFto",18,BBC
219,0.1007,,0.92,0.0,0.08,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","What a shot!  😲📷🐟

This photographer captured an image of a heron eating a fish that's eating another fish. 

https://t.co/6Gm608h6n0",19,BBC
220,-0.4404,,0.879,0.121,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The head of a major music label in South Korea has denied reports HyunA and E'Dawn, two members of the pop trio… https://t.co/veTBbeS7MI",20,BBC
221,0.0,,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","With a suit, shirt and a pair of shoes, Maria can make a life-changing difference. 👔

https://t.co/rdmt94Cuh7",21,BBC
222,0.6239,,0.687,0.0,0.313,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","This is the cutest robot we've ever seen! 😍🤖

https://t.co/tfBJGGJWmc",22,BBC
223,0.786,,0.733,0.0,0.267,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","SO 😍MANY 😍DOGS 😍

Meet Iain, the man behind an Instagram account dedicated to dogs in Glasgow. 

https://t.co/pL0MUcvkFk",23,BBC
224,0.0,,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbcthree: These kids did not hold back.
#Strictly https://t.co/ltrw4PW3j3",24,BBC
225,-0.4404,,0.838,0.162,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCOne: Wondering whodunnit in #Bodyguard? Don’t worry, #LineOfDuty's Ted Hastings is on the case... https://t.co/joi7gZo7Qs",25,BBC
226,-0.6908,,0.737,0.263,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Commuters applying make-up is a major source of irritation to some train passengers. 

But what's the problem, and… https://t.co/8mJ0XKWGH1",26,BBC
227,0.5859,,0.787,0.0,0.213,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",'Flower-vase hair' is the latest beauty trend you didn't know you wanted. 💐💁 https://t.co/aE4jL21UWD https://t.co/HA783PBpLt,27,BBC
228,-0.2263,,0.905,0.095,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","'Some mothers would bawl for days'. 🐮🥛

This dairy farmer has stopped taking calves away from their mothers.

https://t.co/COEsnRrHMD",28,BBC
229,0.0,,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Hugh Dennis and @daraobriain look back at the week's news with @tomallencomedy, @MrEdByrne, @rhysjamesy,… https://t.co/yCq4Hp7p7r",29,BBC
230,0.0,,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A celebration of the critically acclaimed female singers who, decade by decade, changed the world one note at a tim… https://t.co/tJoOLgqCFT",30,BBC
231,0.0,,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCSport: Friday night, as brought to you by Jose Mourinho 🍻🥂🕺🤢 https://t.co/ybHzwXtvvt",31,BBC
232,0.0,,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Actual footage of my weekend plans... 😴 #FridayFeeling https://t.co/ur7TezLIWn,32,BBC
233,0.0,,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Gin + collagen = collagin! 🍸

Could this gin make you look younger? 🤷 #DragonsDen

https://t.co/WoLuk1qE2r",33,BBC
234,0.34,,0.76,0.092,0.148,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCFOUR: Amy Winehouse changed the landscape of modern pop culture, achieving both critical acclaim and global success. Here, she talks…",34,BBC
235,0.3612,,0.889,0.0,0.111,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","“Where the listener or reader expects a name, the brain pauses, and you can slide whatever you like into that gap.”… https://t.co/OzIuOJvT8e",35,BBC
236,0.0,,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Today would have been Amy Winehouse's 35th Birthday. ❤️️

What's your favourite Amy track?

https://t.co/w9zbzGhFpm",36,BBC
237,0.0,,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","'Without fungi, ecosystems would collapse'. 🍄🌱

Scientists think that fungi could break down plastic! 🔬♻️

https://t.co/JrPYTaeMYO",37,BBC
